,Episode Title,Directed By,Air Date,U.S Viewers
0,Space Pilot 3000,Rich Moore & Gregg Vanzo,3/28/1999,19.04
1,The Series Has Landed,Peter Avanzino,4/4/1999,14.23
2,"I, Roommate",Bret Haaland,4/6/1999,8.89
3,Love's Labours Lost in Space,Brian Sheesley,4/13/1999,10.14
4,Fear of a Bot Planet,Peter Avanzino & Carlos Baeza,4/20/1999,9.69
5,A Fishful of Dollars,Ron Hughart & Gregg Vanzo,4/27/1999,9.7
6,My Three Suns,Jeffrey Lynch & Kevin O'Brien,5/4/1999,8.24
7,A Big Piece of Garbage,Susan Dietter,5/11/1999,8.45
8,Hell Is Other Robots,Rich Moore,5/18/1999,7.39
9,A Flight to Remember,Peter Avanzino,9/26/1999,11.54
10,Mars University,Bret Haaland,10/3/1999,10.79
11,When Aliens Attack,Brian Sheesley,11/7/1999,12.25
12,Fry and the Slurm Factory,Ron Hughart,11/14/1999,12.86
13,I Second That Emotion,Mark Ervin,21-Nov-99,15.32
14,"Brannigan, Begin Again",Jeffrey Lynch,28-Nov-99,13.34
15,A Head in the Polls,Bret Haaland,12-Dec-99,12.84
16,Xmas Story,Peter Avanzino,19-Dec-99,12.45
17,Why Must I Be a Crustacean in Love?,Brian Sheesley,6-Feb-00,6.65
18,The Lesser of Two Evils,Chris Sauve,20-Feb-00,7.07
19,Put Your Head on My Shoulders,Chris Louden,13-Feb-00,7.94
20,Raging Bender,Ron Hughart,27-Feb-00,8.19
21,A Bicyclops Built for Two,Susan Dietter,19-Mar-00,6.55
22,A Clone of My Own,Rich Moore,9-Apr-00,5.34
23,How Hermes Requisitioned His Groove Back,Mark Ervin,2-Apr-00,5.46
24,The Deep South,Bret Haaland,16-Apr-00,5.74
25,Bender Gets Made,Peter Avanzino,30-Apr-00,5.74
26,Mother's Day,Brian Sheesley,14-May-00,6.09
27,The Problem with Popplers,Chris Sauve & Gregg Vanzo,7-May-00,5.58
28,Anthology of Interest I,Chris Louden & Rich Moore,21-May-00,5.47
29,War Is the H-Word,Ron Hughart,26-Nov-00,6.0
30,The Honking,Susie Dietter,5-Nov-00,9.78
31,The Cryonic Woman,Mark Ervin,3-Dec-00,6.81
32,Amazon Women in the Mood,Brian Sheesley,4-Feb-01,8.18
33,Parasites Lost,Peter Avanzino,21-Jan-01,8.35
34,A Tale of Two Santas,Ron Hughart,23-Dec-01,7.29
35,The Luck of the Fryrish,Chris Louden,11-Mar-01,7.8
36,The Birdbot of Ice-Catraz,James Purdum,4-Mar-01,7.92
37,Bendless Love,Swinton O. Scott III,11-Feb-01,8.2
38,The Day the Earth Stood Stupid,Mark Ervin,18-Feb-01,8.29
39,That's Lobstertainment!,Bret Haaland,25-Feb-01,8.06
40,The Cyber House Rules,Susie Dietter,1-Apr-01,6.37
41,Where the Buggalo Roam,Patty Shinagawa,3-Mar-02,7.61
42,Insane in the Mainframe,Peter Avanzino,8-Apr-01,7.57
43,The Route of All Evil,Brian Sheesley,8-Dec-02,4.21
44,Bendin' in the Wind,Ron Hughart,22-Apr-01,6.04
45,Time Keeps On Slippin',Chris Louden,6-May-01,6.51
46,I Dated a Robot,James Purdum,13-May-01,6.06
47,A Leela of Her Own,Swinton O. Scott III,7-Apr-02,4.99
48,A Pharaoh to Remember,Mark Ervin,10-Mar-02,6.13
49,Anthology of Interest II,Bret Haaland,6-Jan-02,7.74
50,Roswell That Ends Well,Rich Moore,9-Dec-01,5.4
51,Godfellas,Susie Dietter,17-Mar-02,5.83
52,Future Stock,Brian Sheesley,31-Mar-02,4.79
53,The 30% Iron Chef,Ron Hughart,14-Apr-02,4.73
54,Kif Gets Knocked Up a Notch,Wes Archer,12-Jan-03,5.73
55,Leela's Homeworld,Mark Ervin,17-Feb-02,5.64
56,Love and Rocket,Brian Sheesley,10-Feb-02,6.27
57,Less Than Hero,Susie Dietter,2-Mar-03,7.0
58,A Taste of Freedom,James Purdum,22-Dec-02,4.2
59,Bender Should Not Be Allowed on TV,Ron Hughart,3-Aug-03,4.38
60,Jurassic Bark,Swinton O. Scott III,17-Nov-02,5.98
61,Crimes of the Hot,Peter Avanzino,10-Nov-02,4.15
62,Teenage Mutant Leela's Hurdles,Bret Haaland,30-Mar-03,5.89
63,The Why of Fry,Wes Archer,6-Apr-03,4.43
64,Where No Fan Has Gone Before,Patty Shinagawa,21-Apr-02,6.54
65,The Sting,Brian Sheesley,1-Jun-03,3.86
66,Bend Her,James Purdum,20-Jul-03,4.32
67,Obsoletely Fabulous,Dwayne Carey,27-Jul-03,4.57
68,The Farnsworth Parabox,Ron Hughart,8-Jun-03,4.79
69,Three Hundred Big Boys,Swinton O. Scott,15-Jun-03,4.39
70,Spanish Fry,Peter AvanzinoRon Weiner,13-Jul-03,3.95
71,The Devil's Hands Are Idle Playthings,Bret Haaland,10-Aug-03,4.31
72,Bender's Big Score Part 1,Dwayne Carey-Hill,23-Mar-08,
73,Bender's Big Score Part 2,Dwayne Carey-Hill,23-Mar-08,
74,Bender's Big Score Part 3,Dwayne Carey-Hill,23-Mar-08,
75,Bender's Big Score Part 4,Dwayne Carey-Hill,23-Mar-08,
76,The Beast with a Billion Backs Part 1,Peter Avanzino,19-Oct-08,
77,The Beast with a Billion Backs Part 2,Peter Avanzino,19-Oct-08,
78,The Beast with a Billion Backs Part 3,Peter Avanzino,19-Oct-08,
79,The Beast with a Billion Backs Part 4,Peter Avanzino,19-Oct-08,
80,Bender's Game Part 1,Dwayne Carey-Hill,26-Apr-09,
81,Bender's Game Part 2,Dwayne Carey-Hill,26-Apr-09,
82,Bender's Game Part 3,Dwayne Carey-Hill,26-Apr-09,
83,Bender's Game Part 4,Dwayne Carey-Hill,26-Apr-09,
84,Into the Wild Green Yonder Part 1,Peter Avanzino,30-Aug-09,
85,Into the Wild Green Yonder Part 2,Peter Avanzino,30-Aug-09,
86,Into the Wild Green Yonder Part 3,Peter Avanzino,30-Aug-09,
87,Into the Wild Green Yonder Part 4,Peter Avanzino,30-Aug-09,
88,Rebirth,Frank Marino,24-Jun-10,2.92
89,In-A-Gadda-Da-Leela,Dwayne Carey-Hill,24-Jun-10,2.78
90,Attack of the Killer App,Stephen Sandoval,1-Jul-10,2.16
91,Proposition Infinity,Crystal Chesney-Thompson,8-Jul-10,2.01
92,The Duh-Vinci Code,Raymie Muzquiz,15-Jul-10,2.2
93,Lethal Inspection,Ray Claffey,22-Jul-10,1.92
94,The Late Philip J. Fry,Peter Avanzino,29-Jul-10,2.05
95,That Darn Katz!,Frank Marino,5-Aug-10,1.95
96,A Clockwork Origin,Dwayne Carey-Hill,12-Aug-10,1.96
97,The Prisoner of Benda,Stephen Sandoval,19-Aug-10,1.77
98,Lrrreconcilable Ndndifferences,Crystal Chesney-Thompson,26-Aug-10,1.98
99,The Mutants Are Revolting,Raymie Muzquiz,2-Sep-10,1.79
